title;price;location;link
Mieszkanie 100m2 Wola Mrokowska;635000;Wola Mrokowska;https://www.otodom.pl/pl/oferta/mieszkanie-100m2-wola-mrokowska-ID4e7NY.html?
Przytulne mieszkanie w scisłym centrum;595000;Warszawa;https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-w-scislym-centrum-ID4e7Of.html?
Sprzedam mieszkanie 3 pokoje w Warszawie, wyodrebniona wł. -do remontu;699000;Warszawa;https://www.olx.pl/d/oferta/sprzedam-mieszkanie-3-pokoje-w-warszawie-wyodrebniona-wl-do-remontu-CID3-IDMqTlX.html#4e1f4dc07b
Mieszkanie 2-pokojowe os. Victoria Radzymin;325000;Radzymin;https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-os-victoria-radzymin-CID3-IDMqTbl.html#4e1f4dc07b
Sprzedam, Mokotow, 105m2, 4 pokoje, Dla rodziny lub pod wynajem. Ciche;1099000;Warszawa;https://www.olx.pl/d/oferta/sprzedam-mokotow-105m2-4-pokoje-dla-rodziny-lub-pod-wynajem-ciche-CID3-IDLVOyI.html#4e1f4dc07b
Sprzedam mieszkanie w prestizowej kamienicy;620000;Warszawa;https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-w-prestizowej-kamienicy-ID4e7Nj.html?
Nowoczesne 3 - pokojowe mieszkanie z ogrodem;910000;Warszawa;https://www.otodom.pl/pl/oferta/nowoczesne-3-pokojowe-mieszkanie-z-ogrodem-ID4e6wJ.html?
Dwa pokoje po remoncie przy Placu Wilsona, obok metro;449000;Warszawa;https://www.olx.pl/d/oferta/dwa-pokoje-po-remoncie-przy-placu-wilsona-obok-metro-CID3-IDMjjWq.html#4e1f4dc07b
Dwa pokoje na Osiedlu Park Lesny.;580000;Warszawa;https://www.otodom.pl/pl/oferta/dwa-pokoje-na-osiedlu-park-lesny-ID4e6bc.html?
Sprzedam mieszkanie;495000;Sokołow Podlaski;https://www.olx.pl/d/oferta/sprzedam-mieszkanie-CID3-IDKcfAB.html#4e1f4dc07b
Mieszkanie batorego;365000;Siedlce;https://www.olx.pl/d/oferta/mieszkanie-batorego-CID3-IDMk79h.html#4e1f4dc07b
Jak parterowy dom w centrum miasta z 2-ma ogrodami o pow. 170 m2;1298000;Warszawa;https://www.olx.pl/d/oferta/jak-parterowy-dom-w-centrum-miasta-z-2-ma-ogrodami-o-pow-170-m2-CID3-IDLYSok.html#4e1f4dc07b
Muranow | Winda | Piwnica | Loggia;610000;Warszawa;https://www.otodom.pl/pl/oferta/muranow-winda-piwnica-loggia-ID4e3tX.html?
Nowe 3 pokoje umeblowane!! Do zamieszkania!;480000;Nowy Dwor Mazowiecki;https://www.otodom.pl/pl/oferta/nowe-3-pokoje-umeblowane-do-zamieszkania-ID4e7N3.html?
3 pokojowe mieszkanie do remontu blisko metra;489000;Warszawa;https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-do-remontu-blisko-metra-ID4dF4w.html?
Wysoki standard | Piwnica | Parking | Umeblowane;595000;Warszawa;https://www.otodom.pl/pl/oferta/wysoki-standard-piwnica-parking-umeblowane-ID4e73f.html?
2 Balkony, Klimatyzacja, Mieszkanie Glamour;999900;Warszawa;https://www.otodom.pl/pl/oferta/2-balkony-klimatyzacja-mieszkanie-glamour-ID4cjMD.html?
Do wprowadzenia | Balkon | Panorama Warszawy;659000;Warszawa;https://www.otodom.pl/pl/oferta/do-wprowadzenia-balkon-panorama-warszawy-ID4e3tU.html?
Bezposrednio 3 p. 72 m2, M. Wilanow, do wprowadzen;899000;Warszawa;https://www.otodom.pl/pl/oferta/bezposrednio-3-p-72-m2-m-wilanow-do-wprowadzen-ID4du6d.html?
Mieszkanie 50m  Wilanow Wysoki;590000;Warszawa;https://www.olx.pl/d/oferta/mieszkanie-50m-wilanow-wysoki-CID3-IDMnuN8.html#4e1f4dc07b
Rezerwacja - ul.Czerniakowska dwa niezalezne pokoje i;399000;Warszawa;https://www.olx.pl/d/oferta/rezerwacja-ul-czerniakowska-dwa-niezalezne-pokoje-i-CID3-IDLtqd0.html#4e1f4dc07b
Piekne 51 metrow w kamienicy na Mokotowie;820000;Warszawa;https://www.otodom.pl/pl/oferta/piekne-51-metrow-w-kamienicy-na-mokotowie-ID4dHzp.html?
Mieszkanie na Brodnie/2 pokoje/50m2/Oginskiego;590000;Warszawa;https://www.otodom.pl/pl/oferta/mieszkanie-na-brodnie-2-pokoje-50m2-oginskiego-ID4dUVX.html?
Po remoncie, przestrzenny układ, przyjemne osiedle;593000;Warszawa;https://www.otodom.pl/pl/oferta/po-remoncie-przestrzenny-uklad-przyjemne-osiedle-ID4dNdG.html?
Mieszkanie 3-pokojowe Piaseczno;454000;Piaseczno;https://www.olx.pl/d/oferta/mieszkanie-3-pokojowe-piaseczno-CID3-IDLezTx.html#4e1f4dc07b
Piekny apartament z antresola! Taras - 185.85m2;1782636;Warszawa;https://www.otodom.pl/pl/oferta/piekny-apartament-z-antresola-taras-185-85m2-ID4dHqU.html?
3 p. Zawady. Osiedle Tulip. INWESTYCJA ODDANA;640000;Warszawa;https://www.otodom.pl/pl/oferta/3-p-zawady-osiedle-tulip-inwestycja-oddana-ID4cwdE.html?
Piekny apartament na Bielanach;2156750;Warszawa;https://www.olx.pl/d/oferta/piekny-apartament-na-bielanach-CID3-IDMpEyR.html#4e1f4dc07b
Apartament 98,6 m2 Al. Jerozolimskie 194 (Włochy);1080000;Warszawa;https://www.otodom.pl/pl/oferta/apartament-98-6-m2-al-jerozolimskie-194-wlochy-ID4dHqS.html?
Sprzedam mieszkanie z ogrodkiem w apartamentowcu Anin - 45 m;755000;Warszawa;https://www.olx.pl/d/oferta/sprzedam-mieszkanie-z-ogrodkiem-w-apartamentowcu-anin-45-m-CID3-IDMpTO9.html#b1d7bbd98d
Wyremontowane mieszkanie 3 pokojowe na Południu!70 M2!;384000;Radom;https://www.olx.pl/d/oferta/wyremontowane-mieszkanie-3-pokojowe-na-poludniu-70-m2-CID3-IDKKGP2.html#b1d7bbd98d
2 pokojowe mieszkanie*Metro Słuzew*Galeria Mokotow;448500;Warszawa;https://www.olx.pl/d/oferta/2-pokojowe-mieszkaniemetro-sluzewgaleria-mokotow-CID3-IDMkWQY.html#b1d7bbd98d
Słoneczne 3-pokojowe mieszkanie na Bielanach;560000;Warszawa;https://www.olx.pl/d/oferta/sloneczne-3-pokojowe-mieszkanie-na-bielanach-CID3-IDM9ARt.html#b1d7bbd98d
Jak parterowy dom w centrum miasta z 2-ma ogrodami o pow. 170 m2;1298000;Warszawa;https://www.olx.pl/d/oferta/jak-parterowy-dom-w-centrum-miasta-z-2-ma-ogrodami-o-pow-170-m2-CID3-IDLYSok.html#b1d7bbd98d
Partycypacja TBS - najem z dojsciem do własnosci;185760;Pruszkow;https://www.otodom.pl/pl/oferta/partycypacja-tbs-najem-z-dojsciem-do-wlasnosci-ID4dxhn.html?
TOP Adres. Zamieszkaj na swoim lub zainwestuj i zarabiaj na wynajmie;485000;Warszawa;https://www.olx.pl/d/oferta/top-adres-zamieszkaj-na-swoim-lub-zainwestuj-i-zarabiaj-na-wynajmie-CID3-IDMcKm1.html#b1d7bbd98d
Sprzedam miedzkanie- wysoki standard;840000;Warszawa;https://www.olx.pl/d/oferta/sprzedam-miedzkanie-wysoki-standard-CID3-IDMnrB9.html#b1d7bbd98d
mieszkanie 3 pokojowe Bielany;495000;Warszawa;https://www.olx.pl/d/oferta/mieszkanie-3-pokojowe-bielany-CID3-IDKpx8M.html#b1d7bbd98d
Mieszkanie 54m2, swietna lokalizacja Ursus, bezposrednio;499000;Warszawa;https://www.olx.pl/d/oferta/mieszkanie-54m2-swietna-lokalizacja-ursus-bezposrednio-CID3-IDMk1lj.html#b1d7bbd98d
Mieszkanie 3 pokoje Wola Ks. Janusza;650000;Warszawa;https://www.olx.pl/d/oferta/mieszkanie-3-pokoje-wola-ks-janusza-CID3-IDMk8yu.html#b1d7bbd98d
Przestronne 4 pokojowe mieszkanie Pruszkow;510000;Pruszkow;https://www.otodom.pl/pl/oferta/przestronne-4-pokojowe-mieszkanie-pruszkow-ID4dUUF.html?
Okazja!2-pok w zielonej okolicy,blisko metra.;460000;Warszawa;https://www.olx.pl/d/oferta/okazja-2-pok-w-zielonej-okolicy-blisko-metra-CID3-IDMqMwd.html#b1d7bbd98d
Dwupoziomowe Mieszkanie Warszawa 225,09 m;1526000;Warszawa;https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-warszawa-225-09-m-ID4dHF9.html?
*Szybka Sprzedaz* Ciche Mieszkanie 2-pok. przy PKP Ursus Niedzwiadek;445000;Warszawa;https://www.olx.pl/d/oferta/szybka-sprzedaz-ciche-mieszkanie-2-pok-przy-pkp-ursus-niedzwiadek-CID3-IDKLUwA.html#b1d7bbd98d
mieszkanie (Saska Kepa) - widok na panorame miasta;520000;Warszawa;https://www.otodom.pl/pl/oferta/mieszkanie-saska-kepa-widok-na-panorame-miasta-ID4e7I5.html?
Mieszkanie 72m2 Kurpiowska;375000;Siedlce;https://www.olx.pl/d/oferta/mieszkanie-72m2-kurpiowska-CID3-IDGa2X5.html#b1d7bbd98d
Mieszkanie na sprzedaz Pruszkow - Zbikow;791539;Pruszkow;https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-pruszkow-zbikow-ID4e7HB.html?
KAWALERKA Wola 29m2 po remoncie WYPOSAZONA;399000;Warszawa;https://www.olx.pl/d/oferta/kawalerka-wola-29m2-po-remoncie-wyposazona-CID3-IDM0cL5.html#b1d7bbd98d
2 pokoje w najlepszej lokalizacji w Ciechanowie CENTRUM;245000;Ciechanow;https://www.olx.pl/d/oferta/2-pokoje-w-najlepszej-lokalizacji-w-ciechanowie-centrum-CID3-IDMqLlH.html#b1d7bbd98d
Mieszkanie Minsk Mazowiecki 66m.;400000;Minsk Mazowiecki;https://www.olx.pl/d/oferta/mieszkanie-minsk-mazowiecki-66m-CID3-IDLlV4y.html#b1d7bbd98d
Dwupokojowe, przestronne mieszkanie w zadbanej kamienicy, blisko parku;490000;Warszawa;https://www.olx.pl/d/oferta/dwupokojowe-przestronne-mieszkanie-w-zadbanej-kamienicy-blisko-parku-CID3-IDMezdM.html#b1d7bbd98d
3pok Na Kamionku blisko Ronda Wiatraczna KAMIENICA;644888;Warszawa;https://www.otodom.pl/pl/oferta/3pok-na-kamionku-blisko-ronda-wiatraczna-kamienica-ID4dWWO.html?
Dwa jasne pokoje na Bielanach blisko metra;559000;Warszawa;https://www.olx.pl/d/oferta/dwa-jasne-pokoje-na-bielanach-blisko-metra-CID3-IDMeyKg.html#b1d7bbd98d
Umeblowane, dwupokojowe, gotowe do wprowadzenia PRUSZKOW CENTRUM;385000;Pruszkow;https://www.olx.pl/d/oferta/umeblowane-dwupokojowe-gotowe-do-wprowadzenia-pruszkow-centrum-CID3-IDMdLeW.html#b1d7bbd98d
Sprzedam bezposrednio Praga Połnoc/R.Starzynskiego/mozliwe 2 pokoje;445000;Warszawa;https://www.olx.pl/d/oferta/sprzedam-bezposrednio-praga-polnoc-r-starzynskiego-mozliwe-2-pokoje-CID3-IDMbJSQ.html#b1d7bbd98d
Dwupokojowe na Sadybie;672300;Warszawa;https://www.otodom.pl/pl/oferta/dwupokojowe-na-sadybie-ID4dWWs.html?
Idealny układ - mieszkanie w centrum Warszawy! 39m2;506900;Warszawa;https://www.olx.pl/d/oferta/idealny-uklad-mieszkanie-w-centrum-warszawy-39m2-CID3-IDKXqeV.html#b1d7bbd98d
Targowek, Brodno, Oginskiego, 2-pokoie, 42,40 m2;390000;Warszawa;https://www.olx.pl/d/oferta/targowek-brodno-oginskiego-2-pokoie-42-40-m2-CID3-IDMqIUe.html#b1d7bbd98d
Kosynierow, Marki;320000;Marki;https://www.olx.pl/d/oferta/kosynierow-marki-CID3-IDMqIwK.html#b1d7bbd98d
Słoneczne mieszkanie 81 m2, super lokalizacja, własny parking.;529000;Radom;https://www.olx.pl/d/oferta/sloneczne-mieszkanie-81-m2-super-lokalizacja-wlasny-parking-CID3-IDMdemq.html#b1d7bbd98d
Luksusowa kawalerka przy Polu Mokotowskim (2 pok.);1080000;Warszawa;https://www.otodom.pl/pl/oferta/luksusowa-kawalerka-przy-polu-mokotowskim-2-pok-ID4e7Fk.html?
Sprzedam kawalerke w Minsku Mazowieckim 37m;350000;Minsk Mazowiecki;https://www.olx.pl/d/oferta/sprzedam-kawalerke-w-minsku-mazowieckim-37m-CID3-IDMqHZ9.html#b1d7bbd98d
Jak dom - 5 pok. blisko centrum, umeblowane OKAZJA;650000;Minsk Mazowiecki;https://www.otodom.pl/pl/oferta/jak-dom-5-pok-blisko-centrum-umeblowane-okazja-ID4dss0.html?
Targowek, Brodno, Rembielinska, Kawalerka 33m2;310000;Warszawa;https://www.olx.pl/d/oferta/targowek-brodno-rembielinska-kawalerka-33m2-CID3-IDLzjlS.html#b1d7bbd98d
Warzawa Wawer, Ogorkowa, słoneczne 3-pokoje mieszkanie;689000;Warszawa;https://www.olx.pl/d/oferta/warzawa-wawer-ogorkowa-sloneczne-3-pokoje-mieszkanie-CID3-IDM8eWX.html#b1d7bbd98d
Dwupokojowe Za Zelazna Brama;499000;Warszawa;https://www.otodom.pl/pl/oferta/dwupokojowe-za-zelazna-brama-ID4dUSz.html?
Nowe 3 pokoje pod klucz garaz i wielka komorka lok;1099000;Warszawa;https://www.otodom.pl/pl/oferta/nowe-3-pokoje-pod-klucz-garaz-i-wielka-komorka-lok-ID4e7Er.html?
Bez czynszu! wysoki standard, duzy ogrodek;680000;Marki;https://www.otodom.pl/pl/oferta/bez-czynszu-wysoki-standard-duzy-ogrodek-ID4dtLT.html?
2 pokoje Bliski Tarchomin Bezposrednio 0% 52,12m2;544899;Warszawa;https://www.otodom.pl/pl/oferta/2-pokoje-bliski-tarchomin-bezposrednio-0-52-12m2-ID4dWTB.html?
!!Rezerwacja!! Do wprowadzenia od zaraz;290000;Sokołow Podlaski;https://www.otodom.pl/pl/oferta/rezerwacja-do-wprowadzenia-od-zaraz-ID4dNCQ.html?
Sprzedam 2 pokoje 39m2 Pruszkow, Powstancow;359000;Pruszkow;https://www.otodom.pl/pl/oferta/sprzedam-2-pokoje-39m2-pruszkow-powstancow-ID4dUS4.html?
Ostatnie mieszkanie Trakt Lubelski 251 Wawer!;799000;Warszawa;https://www.otodom.pl/pl/oferta/ostatnie-mieszkanie-trakt-lubelski-251-wawer-ID456T3.html?
Mieszkanie 42m, swietna lokalizacja ul. Traugutta;210000;Radom;https://www.olx.pl/d/oferta/mieszkanie-42m-swietna-lokalizacja-ul-traugutta-CID3-IDLvFFV.html#b1d7bbd98d
Sprzedam mieszkanie;576000;Warszawa;https://www.olx.pl/d/oferta/sprzedam-mieszkanie-CID3-IDMpdfK.html#6a6fc9acf8
Metro Trocka Zamiejska 2-pokoje Kuchnia 46m2;490000;Warszawa;https://www.olx.pl/d/oferta/metro-trocka-zamiejska-2-pokoje-kuchnia-46m2-CID3-IDKuiVb.html#6a6fc9acf8
Sprzedam mieszkanie 36m2 Warszawa Bielany, metro. BEZPOSREDNIO;450000;Warszawa;https://www.olx.pl/d/oferta/sprzedam-mieszkanie-36m2-warszawa-bielany-metro-bezposrednio-CID3-IDMom2x.html#6a6fc9acf8
NOWA Kawalerka 34m2 POD KLUCZ, Słuzew/Ursynow, ul. Złoty Potok;573000;Warszawa;https://www.olx.pl/d/oferta/nowa-kawalerka-34m2-pod-klucz-sluzew-ursynow-ul-zloty-potok-CID3-IDIbQvx.html#6a6fc9acf8
3 pokoje | po generalnym remoncie | ul.Gierzynskiego 23;288500;Płock;https://www.olx.pl/d/oferta/3-pokoje-po-generalnym-remoncie-ul-gierzynskiego-23-CID3-IDM0ACR.html#6a6fc9acf8
Mieszkanie 42m, swietna lokalizacja ul. Traugutta;210000;Radom;https://www.olx.pl/d/oferta/mieszkanie-42m-swietna-lokalizacja-ul-traugutta-CID3-IDLvFFV.html#6a6fc9acf8
Sprzedam mieszkanie (kawalerke) ul. 11 Listopada w Siedlcach;150000;Siedlce;https://www.olx.pl/d/oferta/sprzedam-mieszkanie-kawalerke-ul-11-listopada-w-siedlcach-CID3-IDMqFLb.html#6a6fc9acf8
Mieszkanie bezposrednio stegny ul.pory 59 umeblowane apartament;817740;Warszawa;https://www.olx.pl/d/oferta/mieszkanie-bezposrednio-stegny-ul-pory-59-umeblowane-apartament-CID3-IDINVZo.html#6a6fc9acf8
Mieszkanie 3-pok. Stara Iwiczna pod Piasecznem;600000;Stara Iwiczna;https://www.olx.pl/d/oferta/mieszkanie-3-pok-stara-iwiczna-pod-piasecznem-CID3-IDLSc6S.html#6a6fc9acf8
Ustawna kawalerka 38mkw + 5mkw balkon + klima;445000;Warszawa;https://www.otodom.pl/pl/oferta/ustawna-kawalerka-38mkw-5mkw-balkon-klima-ID48dcJ.html?
SPRZEDAZ MIESZKAN! - Osiedle Dworcowa w Pilawie;250768;Pilawa;https://www.otodom.pl/pl/oferta/sprzedaz-mieszkan-osiedle-dworcowa-w-pilawie-ID4bRdD.html?
Praktyczny rozkład 69mkw na 18 kondygnacji KLIMA !;1066000;Warszawa;https://www.otodom.pl/pl/oferta/praktyczny-rozklad-69mkw-na-18-kondygnacji-klima-ID48eHk.html?
Ostatnie 2 pokoje na 22 kondygnacji BEZPOSREDNIO;759000;Warszawa;https://www.otodom.pl/pl/oferta/ostatnie-2-pokoje-na-22-kondygnacji-bezposrednio-ID48g6z.html?
Ostatni lokal na 2 pokoje z klimatyzacja !;478000;Warszawa;https://www.otodom.pl/pl/oferta/ostatni-lokal-na-2-pokoje-z-klimatyzacja-ID459Di.html?
Sprzedam mieszkanie 36m2 Warszawa Bielany, metro. BEZPOSREDNIO;450000;Warszawa;https://www.olx.pl/d/oferta/sprzedam-mieszkanie-36m2-warszawa-bielany-metro-bezposrednio-CID3-IDMom2x.html#6a6fc9acf8
2 pokoje z osobna, widna kuchnia !!! KLIMA !!!;609000;Warszawa;https://www.otodom.pl/pl/oferta/2-pokoje-z-osobna-widna-kuchnia-klima-ID48FYK.html?
Mega kawalerka z balkonem - bezposrednio !;408000;Warszawa;https://www.otodom.pl/pl/oferta/mega-kawalerka-z-balkonem-bezposrednio-ID48g3v.html?
Mega rozkładowa kawalerka z mega balkonem 5mkw;445000;Warszawa;https://www.otodom.pl/pl/oferta/mega-rozkladowa-kawalerka-z-mega-balkonem-5mkw-ID48g4Y.html?
18 kondygnacja 61m2 + 8,5m2 loggia - klimatyzacja!;925000;Warszawa;https://www.otodom.pl/pl/oferta/18-kondygnacja-61m2-8-5m2-loggia-klimatyzacja-ID48dPI.html?
Ustawna kawalerka z kliamtyzacja;271000;Warszawa;https://www.otodom.pl/pl/oferta/ustawna-kawalerka-z-kliamtyzacja-ID48fYm.html?
90m3 na 19 kondygnacji - OSTATNIE - KLIMATYZACJA !;1308000;Warszawa;https://www.otodom.pl/pl/oferta/90m3-na-19-kondygnacji-ostatnie-klimatyzacja-ID489Vs.html?
2 pok z 9mkw balkonem, drewniane okna, METRO!;621000;Warszawa;https://www.otodom.pl/pl/oferta/2-pok-z-9mkw-balkonem-drewniane-okna-metro-ID48cI6.html?
36m2 + 4m2 balkon + 23% VAT - odlicz na firme;408000;Warszawa;https://www.otodom.pl/pl/oferta/36m2-4m2-balkon-23-vat-odlicz-na-firme-ID489Wt.html?
Przestronna kawalerka + 5mkw balkon -bezposrednio;445000;Warszawa;https://www.otodom.pl/pl/oferta/przestronna-kawalerka-5mkw-balkon-bezposrednio-ID48g4C.html?
GOTOWY Apartament z pieknym tarasem ponad 90m2!;2411000;Warszawa;https://www.otodom.pl/pl/oferta/gotowy-apartament-z-pieknym-tarasem-ponad-90m2-ID4dAL2.html?
Mega rozkład z mega widokiem 18 kondygnacja;1066000;Warszawa;https://www.otodom.pl/pl/oferta/mega-rozklad-z-mega-widokiem-18-kondygnacja-ID48g8x.html?
2 pokoje z osobna, widna kuchnia !!! KLIMA !!!;609000;Warszawa;https://www.otodom.pl/pl/oferta/2-pokoje-z-osobna-widna-kuchnia-klima-ID48FZs.html?
Wykonczona kawalerka 35 m2 + garaz Wola, Odolany;558000;Warszawa;https://www.otodom.pl/pl/oferta/wykonczona-kawalerka-35-m2-garaz-wola-odolany-ID4dWSC.html?
78 m2 M3 1 Pietro Odkryta 53C Nowodwory;760000;Warszawa;https://www.otodom.pl/pl/oferta/78-m2-m3-1-pietro-odkryta-53c-nowodwory-ID4cYoU.html?
HIT pod inwestycje - apartament z klimatyzacja !;408000;Warszawa;https://www.otodom.pl/pl/oferta/hit-pod-inwestycje-apartament-z-klimatyzacja-ID48Iud.html?
Przepiekne 4 pokoje 90m2 + 18m2 balkon + klima !;1290000;Warszawa;https://www.otodom.pl/pl/oferta/przepiekne-4-pokoje-90m2-18m2-balkon-klima-ID48cLZ.html?
Apartament 68m2-20 kondygnacja - widok na Warszawe;1094000;Warszawa;https://www.otodom.pl/pl/oferta/apartament-68m2-20-kondygnacja-widok-na-warszawe-ID44Vmz.html?
Tarchomin ul. Nowodworska;377000;Warszawa;https://www.olx.pl/d/oferta/tarchomin-ul-nowodworska-CID3-IDMqDJ6.html#6a6fc9acf8
Super lokalizacja;499000;Warszawa;https://www.otodom.pl/pl/oferta/super-lokalizacja-ID4dUS5.html?
Nowa inwestycja, Zyrardow ul. Społdzielcza 5;274494;Zyrardow;https://www.olx.pl/d/oferta/nowa-inwestycja-zyrardow-ul-spoldzielcza-5-CID3-IDL3NbF.html#6a6fc9acf8
Mieszkanie 3 pokojowe + garaz + piwnica Białołeka;605000;Warszawa;https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-garaz-piwnica-bialoleka-ID4dWSi.html?
Przestronna kawalerka - urzadzona -wysoki standard;271000;Warszawa;https://www.otodom.pl/pl/oferta/przestronna-kawalerka-urzadzona-wysoki-standard-ID48fYd.html?
36m2 na 3 kondygnacji - MEGA balkon!!! PREMIUM !!!;478000;Warszawa;https://www.otodom.pl/pl/oferta/36m2-na-3-kondygnacji-mega-balkon-premium-ID48dQK.html?
2 pokoje na start - segment PREMIUM - bezposrednio;617000;Warszawa;https://www.otodom.pl/pl/oferta/2-pokoje-na-start-segment-premium-bezposrednio-ID48g8L.html?
36m2 z 4m2 balkonem na 4 kondygnacji - na ten rok!;408000;Warszawa;https://www.otodom.pl/pl/oferta/36m2-z-4m2-balkonem-na-4-kondygnacji-na-ten-rok-ID489WE.html?
! 2 pokoje na 22 kondygnacji + klimatyzacja GRATIS;759000;Warszawa;https://www.otodom.pl/pl/oferta/2-pokoje-na-22-kondygnacji-klimatyzacja-gratis-ID3Ir7a.html?
Mieszkanie 56 m2 -2 pok po remoncie ul, Bonifraterska/ metro/OKAZJA;798000;Warszawa;https://www.olx.pl/d/oferta/mieszkanie-56-m2-2-pok-po-remoncie-ul-bonifraterska-metro-okazja-CID3-IDKz3fR.html#d72361b735
GOTOWE BEZCZYNSZOWE 53,37 m2 z Ogrodkiem, Miejsce Postojowe;440000;Marki;https://www.olx.pl/d/oferta/gotowe-bezczynszowe-53-37-m2-z-ogrodkiem-miejsce-postojowe-CID3-IDLFeAN.html#d72361b735
Mieszkanie 3 pokojowe po remoncie, Pruszkow, ul. Wojska Polskiego 28;430000;Pruszkow;https://www.olx.pl/d/oferta/mieszkanie-3-pokojowe-po-remoncie-pruszkow-ul-wojska-polskiego-28-CID3-IDMk9m0.html#d72361b735
Mieszkanie 54m 3 pokoje/ klima/ urzadzone/ centrum;479000;Pruszkow;https://www.olx.pl/d/oferta/mieszkanie-54m-3-pokoje-klima-urzadzone-centrum-CID3-IDHkSKy.html#d72361b735
Sprzedam dwustronne (wsch -zach) mieszkanie na Pradze Południe;714000;Warszawa;https://www.olx.pl/d/oferta/sprzedam-dwustronne-wsch-zach-mieszkanie-na-pradze-poludnie-CID3-IDLZIvZ.html#d72361b735
! 2 pokoje na 22 kondygnacji + klimatyzacja GRATIS;759000;Warszawa;https://www.otodom.pl/pl/oferta/2-pokoje-na-22-kondygnacji-klimatyzacja-gratis-ID3Ir7a.html?
Piekne 4 pokoje z pieknym widokiem 19 kondygnacja;1308000;Warszawa;https://www.otodom.pl/pl/oferta/piekne-4-pokoje-z-pieknym-widokiem-19-kondygnacja-ID48g7t.html?
3 pok. na XXI p. + 10 mkw loggia - bezposrednio;1109000;Warszawa;https://www.otodom.pl/pl/oferta/3-pok-na-xxi-p-10-mkw-loggia-bezposrednio-ID48g8n.html?
MIESZKANIE 3 -POKOJE, 54,10 m2, Warszawa, Białołeka.BEZPOSREDNIO;479000;Warszawa;https://www.olx.pl/d/oferta/mieszkanie-3-pokoje-54-10-m2-warszawa-bialoleka-bezposrednio-CID3-IDMqCwb.html#d72361b735
